# Rupture EoM solution (Garagash 2021 / Fryer et al.)
#
# a_over_b = 0.9
# Delta_f0_over_b_i = 1
# rs_type = aging
# V0_over_Vs = 1.000000e-10
# df_dts = 1.000000e+00
# bar_v0_over_cs = 3.678794e-11
# V_min = 2.138
# l_ini_over_lb = 5.000000e-01
# l_fin_over_lb = 1.000000e+03
# stop_reason = 1
#
t_over_ts,l_over_lb,vr_over_cs,V_eff_over_V0,df0_over_b
3.51924451e-01,8.78962375e-01,1.57835052e-10,9.98821256e+00,1.35192445e+00
3.59890036e-01,8.91702840e-01,1.62092687e-10,1.03311831e+01,1.35989004e+00
3.67646084e-01,9.04443304e-01,1.66478009e-10,1.06847436e+01,1.36764608e+00
3.74453215e-01,9.15912667e-01,1.70536760e-10,1.10122695e+01,1.37445322e+00
3.81098186e-01,9.27382030e-01,1.74702249e-10,1.13487187e+01,1.38109819e+00
3.87584595e-01,9.38851393e-01,1.78976064e-10,1.16942558e+01,1.38758460e+00
3.93916016e-01,9.50320756e-01,1.83359824e-10,1.20490477e+01,1.39391602e+00
3.99564249e-01,9.60792260e-01,1.87459606e-10,1.23811982e+01,1.39956425e+00
4.05088914e-01,9.71263764e-01,1.91653701e-10,1.27213362e+01,1.40508891e+00
4.10492651e-01,9.81735268e-01,1.95943416e-10,1.30695944e+01,1.41049265e+00
4.15778071e-01,9.92206771e-01,2.00330084e-10,1.34261077e+01,1.41577807e+00
4.20728067e-01,1.00222854e+00,2.04620402e-10,1.37751667e+01,1.42072807e+00
4.25574281e-01,1.01225030e+00,2.09001985e-10,1.41320346e+01,1.42557428e+00
4.30318910e-01,1.02227207e+00,2.13476067e-10,1.44968348e+01,1.43031891e+00
4.34964120e-01,1.03229384e+00,2.18043905e-10,1.48696928e+01,1.43496412e+00
4.39406189e-01,1.04207991e+00,2.22596022e-10,1.52416800e+01,1.43940619e+00
4.43757447e-01,1.05186599e+00,2.27239975e-10,1.56215926e+01,1.44375745e+00
4.48019815e-01,1.06165207e+00,2.31977000e-10,1.60095528e+01,1.44801981e+00
4.52195182e-01,1.07143815e+00,2.36808352e-10,1.64056845e+01,1.45219518e+00
4.56230658e-01,1.08109190e+00,2.41668050e-10,1.68045895e+01,1.45623066e+00
4.60185028e-01,1.09074566e+00,2.46622039e-10,1.72116921e+01,1.46018503e+00
4.64060010e-01,1.10039941e+00,2.51671590e-10,1.76271170e+01,1.46406001e+00
4.67857292e-01,1.11005316e+00,2.56817996e-10,1.80509906e+01,1.46785729e+00
4.71552959e-01,1.11963991e+00,2.62025831e-10,1.84804102e+01,1.47155296e+00
4.75175225e-01,1.12922666e+00,2.67331790e-10,1.89184165e+01,1.47517522e+00
4.78725647e-01,1.13881341e+00,2.72737206e-10,1.93651390e+01,1.47872565e+00
4.82205755e-01,1.14840016e+00,2.78243431e-10,1.98207096e+01,1.48220576e+00
4.85609234e-01,1.15796473e+00,2.83838749e-10,2.02841768e+01,1.48560923e+00
4.88945674e-01,1.16752929e+00,2.89537174e-10,2.07567193e+01,1.48894567e+00
4.92216502e-01,1.17709386e+00,2.95340118e-10,2.12384742e+01,1.49221650e+00
4.95423119e-01,1.18665842e+00,3.01249019e-10,2.17295806e+01,1.49542312e+00
4.98569822e-01,1.19623199e+00,3.07271050e-10,2.22306554e+01,1.49856982e+00
5.01654911e-01,1.20580555e+00,3.13402191e-10,2.27413850e+01,1.50165491e+00
5.04679700e-01,1.21537912e+00,3.19643953e-10,2.32619154e+01,1.50467970e+00
5.07645478e-01,1.22495268e+00,3.25997874e-10,2.37923951e+01,1.50764548e+00
5.10563759e-01,1.23456034e+00,3.32488754e-10,2.43349182e+01,1.51056376e+00
5.13425124e-01,1.24416799e+00,3.39095774e-10,2.48877684e+01,1.51342512e+00
5.16230792e-01,1.25377564e+00,3.45820563e-10,2.54511028e+01,1.51623079e+00
5.18981956e-01,1.26338330e+00,3.52664779e-10,2.60250812e+01,1.51898196e+00
5.21693548e-01,1.27304046e+00,3.59666322e-10,2.66129079e+01,1.52169355e+00
5.24352408e-01,1.28269763e+00,3.66791966e-10,2.72118199e+01,1.52435241e+00
5.26959667e-01,1.29235480e+00,3.74043476e-10,2.78219870e+01,1.52695967e+00
5.29516433e-01,1.30201197e+00,3.81422647e-10,2.84435821e+01,1.52951643e+00
5.32040571e-01,1.31173442e+00,3.88982510e-10,2.90811014e+01,1.53204057e+00
5.34515705e-01,1.32145688e+00,3.96675503e-10,2.97305634e+01,1.53451570e+00
5.36942887e-01,1.33117933e+00,4.04503545e-10,3.03921527e+01,1.53694289e+00
5.39323149e-01,1.34090179e+00,4.12468588e-10,3.10660572e+01,1.53932315e+00
5.41676229e-01,1.35070304e+00,4.20638865e-10,3.17580821e+01,1.54167623e+00
5.43983653e-01,1.36050429e+00,4.28952449e-10,3.24630149e+01,1.54398365e+00
5.46246406e-01,1.37030553e+00,4.37411435e-10,3.31810572e+01,1.54624641e+00
5.48465448e-01,1.38010678e+00,4.46017953e-10,3.39124141e+01,1.54846545e+00
5.50661014e-01,1.38999580e+00,4.54853257e-10,3.46640257e+01,1.55066101e+00
5.52813979e-01,1.39988481e+00,4.63843208e-10,3.54296207e+01,1.55281398e+00
5.54925263e-01,1.40977382e+00,4.72990096e-10,3.62094199e+01,1.55492526e+00
5.56995763e-01,1.41966284e+00,4.82296254e-10,3.70036479e+01,1.55699576e+00
5.59045016e-01,1.42964362e+00,4.91852677e-10,3.78201088e+01,1.55904502e+00
5.61054498e-01,1.43962440e+00,5.01576224e-10,3.86517381e+01,1.56105450e+00
5.63025067e-01,1.44960519e+00,5.11469406e-10,3.94987781e+01,1.56302507e+00
5.64957562e-01,1.45958597e+00,5.21534779e-10,4.03614751e+01,1.56495756e+00
5.66871807e-01,1.46966782e+00,5.31879533e-10,4.12490584e+01,1.56687181e+00
5.68748862e-01,1.47974967e+00,5.42405345e-10,4.21531348e+01,1.56874886e+00
5.70589531e-01,1.48983153e+00,5.53114974e-10,4.30739707e+01,1.57058953e+00
5.72394601e-01,1.49991338e+00,5.64011229e-10,4.40118371e+01,1.57239460e+00
5.74183228e-01,1.51010100e+00,5.75214284e-10,4.49771237e+01,1.57418323e+00
5.75937058e-01,1.52028863e+00,5.86613798e-10,4.59603700e+01,1.57593706e+00
5.77656844e-01,1.53047626e+00,5.98212809e-10,4.69618696e+01,1.57765684e+00
5.79343321e-01,1.54066389e+00,6.10014404e-10,4.79819213e+01,1.57934332e+00
5.81014360e-01,1.55095822e+00,6.22148589e-10,4.90318113e+01,1.58101436e+00
5.82652844e-01,1.56125256e+00,6.34496116e-10,5.01012722e+01,1.58265284e+00
5.84259478e-01,1.57154689e+00,6.47060326e-10,5.11906280e+01,1.58425948e+00
5.85834949e-01,1.58184123e+00,6.59844619e-10,5.23002078e+01,1.58583495e+00
5.87396352e-01,1.59224608e+00,6.72993323e-10,5.34425924e+01,1.58739635e+00
5.88927283e-01,1.60265093e+00,6.86374011e-10,5.46063313e+01,1.58892728e+00
