# Rupture EoM solution (Garagash 2021 / Fryer et al.)
#
# a_over_b = 0.9
# Delta_f0_over_b_i = 1
# rs_type = slip
# V0_over_Vs = 1.000000e-10
# df_dts = 1.000000e+00
# bar_v0_over_cs = 3.678794e-11
# V_min = 2.138
# l_ini_over_lb = 5.000000e-01
# l_fin_over_lb = 1.000000e+03
# stop_reason = 2
#
t_over_ts,l_over_lb,vr_over_cs,V_eff_over_V0,df0_over_b
1.70099361e-01,6.86087943e-01,1.56712336e-10,8.69012597e+00,1.17009936e+00
1.74096132e-01,6.92439220e-01,1.61160706e-10,8.98400484e+00,1.17409613e+00
1.77981776e-01,6.98790498e-01,1.65804525e-10,9.29092693e+00,1.17798178e+00
1.81757812e-01,7.05141775e-01,1.70652812e-10,9.61153647e+00,1.18175781e+00
1.85624062e-01,7.11841678e-01,1.75999352e-10,9.96533173e+00,1.18562406e+00
1.89372015e-01,7.18541581e-01,1.81595859e-10,1.03359638e+01,1.18937202e+00
1.93003646e-01,7.25241483e-01,1.87454877e-10,1.07243323e+01,1.19300365e+00
1.96520982e-01,7.31941386e-01,1.93589726e-10,1.11313931e+01,1.19652098e+00
2.00345559e-01,7.39482003e-01,2.00841969e-10,1.16131603e+01,1.20034556e+00
2.04031003e-01,7.47022621e-01,2.08483088e-10,1.21214455e+01,1.20403100e+00
2.07580384e-01,7.54563238e-01,2.16536163e-10,1.26579128e+01,1.20758038e+00
2.10996811e-01,7.62103856e-01,2.25025966e-10,1.32243512e+01,1.21099681e+00
2.13696424e-01,7.68275881e-01,2.32318484e-10,1.37116309e+01,1.21369642e+00
2.16310809e-01,7.74447906e-01,2.39936982e-10,1.42214070e+01,1.21631081e+00
2.18841712e-01,7.80619931e-01,2.47898017e-10,1.47548811e+01,1.21884171e+00
2.21290879e-01,7.86791956e-01,2.56219185e-10,1.53133317e+01,1.22129088e+00
2.23371400e-01,7.92200840e-01,2.63822304e-10,1.58243396e+01,1.22337140e+00
2.25391671e-01,7.97609723e-01,2.71729720e-10,1.63565477e+01,1.22539167e+00
2.27352868e-01,8.03018607e-01,2.79955544e-10,1.69109858e+01,1.22735287e+00
2.29256162e-01,8.08427490e-01,2.88514696e-10,1.74887443e+01,1.22925616e+00
2.30966007e-01,8.13430211e-01,2.96741534e-10,1.80448788e+01,1.23096601e+00
2.32628239e-01,8.18432932e-01,3.05280206e-10,1.86229172e+01,1.23262824e+00
2.34243773e-01,8.23435653e-01,3.14144619e-10,1.92238802e+01,1.23424377e+00
2.35813521e-01,8.28438374e-01,3.23349448e-10,1.98488461e+01,1.23581352e+00
2.37254787e-01,8.33163013e-01,3.32369126e-10,2.04621379e+01,1.23725479e+00
2.38656779e-01,8.37887652e-01,3.41720000e-10,2.10988689e+01,1.23865678e+00
2.40020247e-01,8.42612291e-01,3.51416565e-10,2.17601086e+01,1.24002025e+00
2.41345937e-01,8.47336930e-01,3.61474099e-10,2.24469859e+01,1.24134594e+00
2.42576255e-01,8.51844767e-01,3.71421403e-10,2.31273380e+01,1.24257626e+00
2.43773492e-01,8.56352604e-01,3.81726714e-10,2.38332063e+01,1.24377349e+00
2.44938278e-01,8.60860441e-01,3.92405555e-10,2.45657425e+01,1.24493828e+00
2.46071239e-01,8.65368278e-01,4.03474280e-10,2.53261618e+01,1.24607124e+00
2.47129238e-01,8.69694650e-01,4.14480072e-10,2.60833814e+01,1.24712924e+00
