# Rupture EoM solution (Garagash 2021 / Fryer et al.)
#
# a_over_b = 0.9
# Delta_f0_over_b = -1
# rs_type = slip
# V0_over_Vs = 1.000000e-10
# bar_v0_over_cs = 2.718282e-10
# Delta_T = 1.000000e+01
# V_min = 2.138
# l_ini_over_lb = 1.000000e-02
# l_fin_over_lb = 1.000000e+04
# stop_reason = 1
#
t_over_ts,l_over_lb,vr_over_cs,V_eff_over_V0
0.00000000e+00,1.00000000e-01,9.42581915e-01,8.29537920e+11
2.65228970e-07,1.00000250e-01,9.42581686e-01,8.29535842e+11
5.30458004e-07,1.00000500e-01,9.42581457e-01,8.29533765e+11
7.95687103e-07,1.00000750e-01,9.42581228e-01,8.29531687e+11
1.06091627e-06,1.00001000e-01,9.42580999e-01,8.29529610e+11
2.38706305e-06,1.00002250e-01,9.42579854e-01,8.29519223e+11
3.71321144e-06,1.00003500e-01,9.42578709e-01,8.29508836e+11
5.03936145e-06,1.00004750e-01,9.42577564e-01,8.29498449e+11
6.36551306e-06,1.00006000e-01,9.42576419e-01,8.29488063e+11
1.29962953e-05,1.00012250e-01,9.42570695e-01,8.29436134e+11
1.96271178e-05,1.00018500e-01,9.42564971e-01,8.29384213e+11
2.62579806e-05,1.00024750e-01,9.42559246e-01,8.29332297e+11
3.28888836e-05,1.00031000e-01,9.42553521e-01,8.29280388e+11
6.60440030e-05,1.00062250e-01,9.42524895e-01,8.29020938e+11
9.92001295e-05,1.00093500e-01,9.42496267e-01,8.28761647e+11
1.32357263e-04,1.00124750e-01,9.42467634e-01,8.28502516e+11
1.65515404e-04,1.00156000e-01,9.42438999e-01,8.28243544e+11
3.31321226e-04,1.00312250e-01,9.42295772e-01,8.26951063e+11
4.97152260e-04,1.00468500e-01,9.42152464e-01,8.25662537e+11
6.63008526e-04,1.00624750e-01,9.42009074e-01,8.24377947e+11
8.28890048e-04,1.00781000e-01,9.41865602e-01,8.23097275e+11
1.65867725e-03,1.01562250e-01,9.41147040e-01,8.16752059e+11
2.48909912e-03,1.02343500e-01,9.40426493e-01,8.10502131e+11
3.32015836e-03,1.03124750e-01,9.39703998e-01,8.04345336e+11
4.15185765e-03,1.03906000e-01,9.38979589e-01,7.98279589e+11
6.59520424e-03,1.06197646e-01,9.36843977e-01,7.80993180e+11
9.04414718e-03,1.08489291e-01,9.34693087e-01,7.64424813e+11
1.14987512e-02,1.10780937e-01,9.32527773e-01,7.48530225e+11
1.39590795e-02,1.13072583e-01,9.30348862e-01,7.33268731e+11
1.65929719e-02,1.15519940e-01,9.28007793e-01,7.17627093e+11
1.92335368e-02,1.17967298e-01,9.25653082e-01,7.02622856e+11
2.18808459e-02,1.20414656e-01,9.23285649e-01,6.88217461e+11
2.45349690e-02,1.22862013e-01,9.20906384e-01,6.74375408e+11
2.74042466e-02,1.25500653e-01,9.18328892e-01,6.60045017e+11
3.02816074e-02,1.28139292e-01,9.15739688e-01,6.46293685e+11
3.31671325e-02,1.30777931e-01,9.13139776e-01,6.33086675e+11
3.60609007e-02,1.33416571e-01,9.10530125e-01,6.20391990e+11
3.91936108e-02,1.36264571e-01,9.07703557e-01,6.07231016e+11
4.23361075e-02,1.39112570e-01,9.04867857e-01,5.94598330e+11
4.54884820e-02,1.41960570e-01,9.02024108e-01,5.82462462e+11
4.86508231e-02,1.44808570e-01,8.99173347e-01,5.70794408e+11
5.20800407e-02,1.47886735e-01,8.96085462e-01,5.58678561e+11
5.55211073e-02,1.50964900e-01,8.92991752e-01,5.47046789e+11
5.89741253e-02,1.54043066e-01,8.89893365e-01,5.35870408e+11
6.24391941e-02,1.57121231e-01,8.86791398e-01,5.25122972e+11
6.62035834e-02,1.60453131e-01,8.83430906e-01,5.13944818e+11
6.99823236e-02,1.63785030e-01,8.80068701e-01,5.03212087e+11
7.37755291e-02,1.67116930e-01,8.76705981e-01,4.92898483e+11
7.75833110e-02,1.70448830e-01,8.73343880e-01,4.82979749e+11
8.17281744e-02,1.74061164e-01,8.69700746e-01,4.72646327e+11
8.58904296e-02,1.77673499e-01,8.66060895e-01,4.62724402e+11
9.00702041e-02,1.81285834e-01,8.62425546e-01,4.53189723e+11
9.42676215e-02,1.84898169e-01,8.58795846e-01,4.44019925e+11
9.88461606e-02,1.88821182e-01,8.54861628e-01,4.34450739e+11
1.03445795e-01,1.92744196e-01,8.50936638e-01,4.25263133e+11
1.08066667e-01,1.96667210e-01,8.47022088e-01,4.16434626e+11
1.12708913e-01,2.00590223e-01,8.43119104e-01,4.07944480e+11
1.17784130e-01,2.04858481e-01,8.38887003e-01,3.99069136e+11
1.22884966e-01,2.09126738e-01,8.34671091e-01,3.90548913e+11
1.28011580e-01,2.13394995e-01,8.30472527e-01,3.82362857e+11
1.33164120e-01,2.17663252e-01,8.26292379e-01,3.74491640e+11
1.38810658e-01,2.22316117e-01,8.21757693e-01,3.66248912e+11
