# Rupture EoM solution (Garagash 2021 / Fryer et al.)
#
# a_over_b = 1.1
# Delta_f0_over_b_i = 1
# rs_type = slip
# V0_over_Vs = 1.000000e-10
# df_dts = 1.000000e+00
# bar_v0_over_cs = 3.678794e-11
# V_min = 2.138
# l_ini_over_lb = 1.000000e+00
# l_fin_over_lb = 1.000000e+04
# stop_reason = 1
#
t_over_ts,l_over_lb,vr_over_cs,V_eff_over_V0,df0_over_b
2.58003152e-01,1.33000737e+00,1.85359746e-10,7.80394362e+00,1.25800315e+00
2.63006103e-01,1.33937429e+00,1.89120045e-10,7.98294863e+00,1.26300610e+00
2.67909678e-01,1.34874121e+00,1.92948614e-10,8.16499894e+00,1.26790968e+00
2.72596708e-01,1.35787325e+00,1.96747269e-10,8.34543115e+00,1.27259671e+00
2.77193348e-01,1.36700529e+00,2.00611534e-10,8.52878773e+00,1.27719335e+00
2.81701553e-01,1.37613732e+00,2.04541767e-10,8.71508313e+00,1.28170155e+00
2.86123245e-01,1.38526936e+00,2.08538328e-10,8.90433181e+00,1.28612325e+00
2.90408457e-01,1.39429116e+00,2.12552135e-10,9.09421022e+00,1.29040846e+00
2.94612860e-01,1.40331296e+00,2.16631389e-10,9.28699903e+00,1.29461286e+00
2.98738208e-01,1.41233476e+00,2.20776446e-10,9.48271196e+00,1.29873821e+00
3.02786221e-01,1.42135656e+00,2.24987664e-10,9.68136276e+00,1.30278622e+00
3.06741323e-01,1.43033879e+00,2.29246499e-10,9.88207451e+00,1.30674132e+00
3.10623067e-01,1.43932103e+00,2.33571636e-10,1.00857256e+01,1.31062307e+00
3.14433049e-01,1.44830326e+00,2.37963438e-10,1.02923295e+01,1.31443305e+00
3.18172835e-01,1.45728549e+00,2.42422269e-10,1.05018996e+01,1.31817283e+00
3.21849858e-01,1.46628230e+00,2.46955900e-10,1.07147970e+01,1.32184986e+00
3.25459499e-01,1.47527911e+00,2.51557522e-10,1.09306974e+01,1.32545950e+00
3.29003229e-01,1.48427592e+00,2.56227509e-10,1.11496144e+01,1.32900323e+00
3.32482490e-01,1.49327273e+00,2.60966238e-10,1.13715613e+01,1.33248249e+00
3.35917123e-01,1.50231852e+00,2.65800461e-10,1.15977854e+01,1.33591712e+00
3.39289409e-01,1.51136432e+00,2.70704953e-10,1.18271000e+01,1.33928941e+00
3.42600716e-01,1.52041012e+00,2.75680106e-10,1.20595191e+01,1.34260072e+00
3.45852382e-01,1.52945592e+00,2.80726313e-10,1.22950563e+01,1.34585238e+00
3.49073523e-01,1.53858121e+00,2.85889269e-10,1.25358370e+01,1.34907352e+00
3.52236611e-01,1.54770651e+00,2.91125350e-10,1.27798192e+01,1.35223661e+00
3.55342926e-01,1.55683180e+00,2.96434968e-10,1.30270171e+01,1.35534293e+00
3.58393716e-01,1.56595710e+00,3.01818541e-10,1.32774448e+01,1.35839372e+00
3.61423955e-01,1.57518612e+00,3.07338952e-10,1.35340188e+01,1.36142396e+00
3.64399881e-01,1.58441514e+00,3.12935872e-10,1.37939259e+01,1.36439988e+00
3.67322696e-01,1.59364416e+00,3.18609736e-10,1.40571808e+01,1.36732270e+00
3.70193573e-01,1.60287317e+00,3.24360986e-10,1.43237985e+01,1.37019357e+00
3.73050343e-01,1.61222334e+00,3.30267101e-10,1.45973603e+01,1.37305034e+00
3.75856139e-01,1.62157350e+00,3.36253564e-10,1.48744044e+01,1.37585614e+00
3.78612093e-01,1.63092367e+00,3.42320840e-10,1.51549461e+01,1.37861209e+00
3.81319309e-01,1.64027383e+00,3.48469397e-10,1.54390011e+01,1.38131931e+00
3.84017990e-01,1.64976279e+00,3.54792805e-10,1.57308803e+01,1.38401799e+00
3.86668683e-01,1.65925174e+00,3.61200903e-10,1.60264102e+01,1.38666868e+00
3.89272457e-01,1.66874070e+00,3.67694187e-10,1.63256068e+01,1.38927246e+00
3.91830356e-01,1.67822965e+00,3.74273157e-10,1.66284867e+01,1.39183036e+00
3.94384674e-01,1.68787587e+00,3.81049511e-10,1.69401787e+01,1.39438467e+00
3.96893675e-01,1.69752210e+00,3.87915461e-10,1.72557111e+01,1.39689368e+00
3.99358372e-01,1.70716832e+00,3.94871537e-10,1.75751012e+01,1.39935837e+00
4.01779753e-01,1.71681455e+00,4.01918274e-10,1.78983662e+01,1.40177975e+00
