# Rupture EoM solution (Garagash 2021 / Fryer et al.)
#
# a_over_b = 1
# Delta_f0_over_b_i = 1
# rs_type = aging
# V0_over_Vs = 1.000000e-10
# df_dts = 0.000000e+00
# bar_v0_over_cs = 3.678794e-11
# V_min = 2.138
# l_ini_over_lb = 1.000000e+00
# l_fin_over_lb = 1.000000e+04
# stop_reason = 1
#
t_over_ts,l_over_lb,vr_over_cs,V_eff_over_V0,df0_over_b
2.89230045e+00,4.56063377e+01,7.18535891e-07,2.87414356e+04,1.00000000e+00
2.89232293e+00,4.57695192e+01,7.33328277e-07,2.93331311e+04,1.00000000e+00
2.89234495e+00,4.59327006e+01,7.48399242e-07,2.99359697e+04,1.00000000e+00
2.89236669e+00,4.60970184e+01,7.63861528e-07,3.05544611e+04,1.00000000e+00
2.89238798e+00,4.62613363e+01,7.79616143e-07,3.11846457e+04,1.00000000e+00
2.89240884e+00,4.64256541e+01,7.95668152e-07,3.18267260e+04,1.00000000e+00
2.89242929e+00,4.65899720e+01,8.12022702e-07,3.24809080e+04,1.00000000e+00
2.89244945e+00,4.67553636e+01,8.28794932e-07,3.31517973e+04,1.00000000e+00
2.89246920e+00,4.69207553e+01,8.45884379e-07,3.38353751e+04,1.00000000e+00
2.89248855e+00,4.70861469e+01,8.63296544e-07,3.45318617e+04,1.00000000e+00
2.89250752e+00,4.72515386e+01,8.81037018e-07,3.52414807e+04,1.00000000e+00
2.89252623e+00,4.74181214e+01,8.99242885e-07,3.59697154e+04,1.00000000e+00
2.89254457e+00,4.75847043e+01,9.17793460e-07,3.67117384e+04,1.00000000e+00
2.89256254e+00,4.77512872e+01,9.36694731e-07,3.74677892e+04,1.00000000e+00
2.89258014e+00,4.79178700e+01,9.55952783e-07,3.82381113e+04,1.00000000e+00
2.89259751e+00,4.80856030e+01,9.75710536e-07,3.90284214e+04,1.00000000e+00
2.89261453e+00,4.82533359e+01,9.95842690e-07,3.98337076e+04,1.00000000e+00
2.89263120e+00,4.84210688e+01,1.01635576e-06,4.06542303e+04,1.00000000e+00
2.89264754e+00,4.85888017e+01,1.03725636e-06,4.14902544e+04,1.00000000e+00
2.89266365e+00,4.87577165e+01,1.05870268e-06,4.23481071e+04,1.00000000e+00
2.89267945e+00,4.89266312e+01,1.08055580e-06,4.32222321e+04,1.00000000e+00
2.89269492e+00,4.90955459e+01,1.10282282e-06,4.41129130e+04,1.00000000e+00
2.89271008e+00,4.92644607e+01,1.12551095e-06,4.50204379e+04,1.00000000e+00
2.89272503e+00,4.94344190e+01,1.14877165e-06,4.59508658e+04,1.00000000e+00
2.89273967e+00,4.96043772e+01,1.17247365e-06,4.68989458e+04,1.00000000e+00
2.89275402e+00,4.97743355e+01,1.19662464e-06,4.78649856e+04,1.00000000e+00
2.89276808e+00,4.99442938e+01,1.22123245e-06,4.88492981e+04,1.00000000e+00
2.89278195e+00,5.01153876e+01,1.24647413e-06,4.98589651e+04,1.00000000e+00
2.89279554e+00,5.02864814e+01,1.27219503e-06,5.08878013e+04,1.00000000e+00
