# Rupture EoM solution (Garagash 2021 / Fryer et al.)
#
# a_over_b = 1.1
# Delta_f0_over_b_i = 1
# rs_type = aging
# V0_over_Vs = 1.000000e-10
# df_dts = 1.000000e+00
# bar_v0_over_cs = 3.678794e-11
# V_min = 2.138
# l_ini_over_lb = 1.000000e+00
# l_fin_over_lb = 1.000000e+04
# stop_reason = 1
#
t_over_ts,l_over_lb,vr_over_cs,V_eff_over_V0,df0_over_b
4.15993556e-01,1.46921439e+00,1.55526525e-10,7.55126132e+00,1.41599356e+00
4.25752022e-01,1.48454533e+00,1.58701612e-10,7.75081076e+00,1.42575202e+00
4.35315505e-01,1.49987628e+00,1.61932837e-10,7.95381892e+00,1.43531550e+00
4.44165920e-01,1.51434442e+00,1.65033675e-10,8.14858085e+00,1.44416592e+00
4.52850284e-01,1.52881257e+00,1.68184463e-10,8.34643538e+00,1.45285028e+00
4.61372203e-01,1.54328071e+00,1.71385185e-10,8.54738798e+00,1.46137220e+00
4.69735231e-01,1.55774885e+00,1.74635831e-10,8.75144406e+00,1.46973523e+00
4.77757604e-01,1.57188743e+00,1.77860661e-10,8.95385554e+00,1.47775760e+00
4.85634778e-01,1.58602601e+00,1.81133168e-10,9.15924097e+00,1.48563478e+00
4.93369896e-01,1.60016459e+00,1.84453359e-10,9.36760513e+00,1.49336990e+00
5.00966045e-01,1.61430317e+00,1.87821247e-10,9.57895284e+00,1.50096604e+00
5.08369229e-01,1.62833271e+00,1.91210327e-10,9.79162453e+00,1.50836923e+00
5.15641458e-01,1.64236224e+00,1.94646413e-10,1.00072435e+01,1.51564146e+00
5.22785574e-01,1.65639178e+00,1.98129532e-10,1.02258142e+01,1.52278557e+00
5.29804361e-01,1.67042132e+00,2.01659716e-10,1.04473414e+01,1.52980436e+00
5.36705802e-01,1.68446165e+00,2.05239773e-10,1.06720037e+01,1.53670580e+00
5.43487123e-01,1.69850198e+00,2.08867046e-10,1.08996364e+01,1.54348712e+00
5.50150939e-01,1.71254231e+00,2.12541580e-10,1.11302442e+01,1.55015094e+00
5.56699808e-01,1.72658264e+00,2.16263423e-10,1.13638318e+01,1.55669981e+00
5.63179411e-01,1.74071798e+00,2.20058298e-10,1.16020151e+01,1.56317941e+00
5.69547536e-01,1.75485332e+00,2.23901239e-10,1.18432284e+01,1.56954754e+00
5.75806621e-01,1.76898866e+00,2.27792307e-10,1.20874765e+01,1.57580662e+00
5.81959047e-01,1.78312400e+00,2.31731568e-10,1.23347644e+01,1.58195905e+00
5.88071520e-01,1.79741111e+00,2.35762166e-10,1.25878013e+01,1.58807152e+00
5.94079752e-01,1.81169822e+00,2.39842145e-10,1.28439540e+01,1.59407975e+00
5.99986031e-01,1.82598532e+00,2.43971582e-10,1.31032274e+01,1.59998603e+00
6.05792594e-01,1.84027243e+00,2.48150560e-10,1.33656271e+01,1.60579259e+00
6.11581225e-01,1.85476047e+00,2.52438989e-10,1.36349149e+01,1.61158122e+00
6.17271772e-01,1.86924851e+00,2.56778543e-10,1.39074285e+01,1.61727177e+00
6.22866399e-01,1.88373655e+00,2.61169316e-10,1.41831734e+01,1.62286640e+00
6.28367214e-01,1.89822459e+00,2.65611407e-10,1.44621553e+01,1.62836721e+00
6.33864395e-01,1.91295067e+00,2.70179179e-10,1.47490443e+01,1.63386439e+00
6.39268886e-01,1.92767676e+00,2.74800184e-10,1.50392895e+01,1.63926889e+00
6.44582738e-01,1.94240284e+00,2.79474534e-10,1.53328971e+01,1.64458274e+00
6.49807953e-01,1.95712893e+00,2.84202344e-10,1.56298733e+01,1.64980795e+00
6.55040595e-01,1.97212704e+00,2.89072561e-10,1.59358043e+01,1.65504060e+00
6.60185321e-01,1.98712515e+00,2.93998482e-10,1.62452426e+01,1.66018532e+00
6.65244085e-01,2.00212325e+00,2.98980236e-10,1.65581948e+01,1.66524408e+00
6.70218789e-01,2.01712136e+00,3.04017957e-10,1.68746679e+01,1.67021879e+00
6.75208884e-01,2.03242120e+00,3.09214836e-10,1.72011427e+01,1.67520888e+00
6.80115347e-01,2.04772104e+00,3.14470242e-10,1.75312957e+01,1.68011535e+00
6.84940044e-01,2.06302088e+00,3.19784326e-10,1.78651344e+01,1.68494004e+00
6.89684792e-01,2.07832071e+00,3.25157238e-10,1.82026661e+01,1.68968479e+00
6.94450455e-01,2.09394821e+00,3.30706109e-10,1.85512470e+01,1.69445046e+00
6.99136386e-01,2.10957572e+00,3.36316682e-10,1.89036966e+01,1.69913639e+00
7.03744367e-01,2.12520322e+00,3.41989123e-10,1.92600231e+01,1.70374437e+00
7.08276136e-01,2.14083072e+00,3.47723605e-10,1.96202348e+01,1.70827614e+00
7.12832584e-01,2.15680897e+00,3.53651123e-10,1.99925569e+01,1.71283258e+00
7.17312884e-01,2.17278723e+00,3.59643864e-10,2.03689579e+01,1.71731288e+00
7.21718745e-01,2.18876549e+00,3.65702018e-10,2.07494466e+01,1.72171875e+00
7.26051833e-01,2.20474375e+00,3.71825777e-10,2.11340323e+01,1.72605183e+00
7.30413040e-01,2.22109736e+00,3.78161528e-10,2.15319042e+01,1.73041304e+00
7.34701395e-01,2.23745096e+00,3.84566413e-10,2.19340870e+01,1.73470139e+00
7.38918538e-01,2.25380457e+00,3.91040644e-10,2.23405902e+01,1.73891854e+00
7.43066067e-01,2.27015818e+00,3.97584435e-10,2.27514241e+01,1.74306607e+00
7.47242579e-01,2.28690413e+00,4.04357527e-10,2.31766123e+01,1.74724258e+00
7.51349342e-01,2.30365007e+00,4.11204013e-10,2.36063624e+01,1.75134934e+00
7.55387932e-01,2.32039602e+00,4.18124130e-10,2.40406853e+01,1.75538793e+00
7.59359881e-01,2.33714197e+00,4.25118116e-10,2.44795918e+01,1.75935988e+00
7.63363907e-01,2.35430821e+00,4.32364564e-10,2.49342834e+01,1.76336391e+00
7.67301028e-01,2.37147445e+00,4.39689143e-10,2.53938149e+01,1.76730103e+00
7.71172759e-01,2.38864070e+00,4.47092115e-10,2.58581982e+01,1.77117276e+00
7.74980575e-01,2.40580694e+00,4.54573744e-10,2.63274453e+01,1.77498057e+00
7.78820034e-01,2.42340827e+00,4.62326946e-10,2.68136486e+01,1.77882003e+00
7.82595302e-01,2.44100959e+00,4.70163407e-10,2.73049909e+01,1.78259530e+00
7.86307836e-01,2.45861092e+00,4.78083413e-10,2.78014854e+01,1.78630784e+00
7.89959054e-01,2.47621225e+00,4.86087259e-10,2.83031453e+01,1.78995905e+00
7.93642669e-01,2.49426998e+00,4.94386078e-10,2.88231953e+01,1.79364267e+00
7.97264641e-01,2.51232771e+00,5.02773762e-10,2.93487101e+01,1.79726464e+00
8.00826373e-01,2.53038544e+00,5.11250630e-10,2.98797041e+01,1.80082637e+00
8.04329228e-01,2.54844316e+00,5.19817003e-10,3.04161920e+01,1.80432923e+00
8.07864572e-01,2.56697682e+00,5.28702565e-10,3.09725477e+01,1.80786457e+00
8.11340682e-01,2.58551048e+00,5.37683099e-10,3.15347215e+01,1.81134068e+00
8.14758912e-01,2.60404414e+00,5.46758957e-10,3.21027292e+01,1.81475891e+00
8.18120576e-01,2.62257780e+00,5.55930493e-10,3.26765869e+01,1.81812058e+00
8.21514566e-01,2.64160678e+00,5.65447063e-10,3.32718844e+01,1.82151457e+00
8.24851612e-01,2.66063575e+00,5.75065249e-10,3.38733826e+01,1.82485161e+00
8.28133018e-01,2.67966473e+00,5.84785439e-10,3.44810988e+01,1.82813302e+00
8.31360048e-01,2.69869371e+00,5.94608023e-10,3.50950507e+01,1.83136005e+00
8.34618744e-01,2.71823551e+00,6.04802299e-10,3.57320566e+01,1.83461874e+00
8.37822684e-01,2.73777731e+00,6.15105393e-10,3.63756759e+01,1.83782268e+00
8.40973124e-01,2.75731911e+00,6.25517731e-10,3.70259278e+01,1.84097312e+00
8.44071284e-01,2.77686091e+00,6.36039742e-10,3.76828315e+01,1.84407128e+00
8.47200805e-01,2.79693604e+00,6.46963574e-10,3.83646103e+01,1.84720080e+00
8.50277650e-01,2.81701118e+00,6.58004060e-10,3.90534498e+01,1.85027765e+00
8.53303030e-01,2.83708632e+00,6.69161667e-10,3.97493708e+01,1.85330303e+00
8.56278122e-01,2.85716146e+00,6.80436866e-10,4.04523946e+01,1.85627812e+00
8.59283594e-01,2.87778691e+00,6.92144114e-10,4.11821097e+01,1.85928359e+00
8.62238389e-01,2.89841236e+00,7.03976491e-10,4.19193670e+01,1.86223839e+00
8.65143676e-01,2.91903781e+00,7.15934510e-10,4.26641894e+01,1.86514368e+00
8.68000588e-01,2.93966326e+00,7.28018689e-10,4.34166001e+01,1.86800059e+00
8.70887026e-01,2.96085735e+00,7.40567986e-10,4.41976836e+01,1.87088703e+00
8.73724706e-01,2.98205143e+00,7.53251595e-10,4.49868286e+01,1.87372471e+00
8.76514754e-01,3.00324552e+00,7.66070075e-10,4.57840602e+01,1.87651475e+00
